title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label
ComfortDelGro Corporation Ltd,"Auntie Christie did a great job of walking me through my insurance accident reporting, as it was my first time and i’m not familiar with the process. Thank you so much for your help!",FALSE,FALSE,,Corporate office,0,5,not spam,good,ChIJuatSAOkX2jER6QB06ZyJD0Q,https://maps.google.com/?cid=4904289826254356713&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.1,"corporate_office, point_of_interest, establishment",positive_review
Henderson Waves,"If you are passionate of hiking the area have some trails, for the lazy ones (like me) you can put the bridge on the ridesharing app and it will leave you somewhere under and you climb some stairs until on top.
The bridge is interesting and the view is beautiful. If you are lucky you might spot monkeys. We didn’t 😅",FALSE,TRUE,,Bridge,0,5,not spam,good,ChIJeXrAvBcb2jERhWAujA0K0LE,https://maps.google.com/?cid=12812751993171763333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"point_of_interest, establishment",positive_review
Marina Barrage,"Beautiful view from the roof top. If u have foldable bicycle can bring here and cycle all the way to east coast. Or cycle from east coast to here to enjoy the beauty of our country, Singapore.",FALSE,TRUE,,Picnic ground,0,5,not spam,good,ChIJ50uIMa0Z2jER0cTt5fLaZt0,https://maps.google.com/?cid=15953679466781066449&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"picnic_ground, tourist_attraction, point_of_interest, establishment",positive_review
City Plaza,"City Plaza is one of those underrated shopping spots in Singapore that truly surprises you once you explore it properly. Located near Paya Lebar MRT, it’s not a flashy mall like the newer ones—but it offers a unique charm that comes from being packed with small shops, local boutiques, and affordable fashion.

What I love most is the variety of budget-friendly clothes, especially trendy and pre-loved fashion. If you like thrift shopping or K-fashion styles, this is the place to dig in. Many online blogshops actually source their items from here, so you can get the same outfits at much lower prices.

It also has tailor shops, beauty salons, and a few places to eat like Arnold's Fried Chicken (super popular!). The building is a bit old and the layout isn’t the easiest to navigate, but that’s part of the adventure. Definitely not your modern mall experience, but it’s got its own character.

💡 Tip: Come on weekdays if you want to avoid crowds. And don’t be afraid to bargain at some of the stores!",FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJ34RyshcY2jERneNcLqsPK3o,https://maps.google.com/?cid=8803147124517430173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"shopping_mall, point_of_interest, establishment",positive_review
City Plaza,Recently had my iPhone 11 back glass replacement and everything is good.. happy with the outcome.,FALSE,FALSE,,Shopping mall,0,5,not spam,good,ChIJ34RyshcY2jERneNcLqsPK3o,https://maps.google.com/?cid=8803147124517430173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"shopping_mall, point_of_interest, establishment",positive_review
City Square Mall,"The newly renovated City Square Mall is like a ""perfect"" shopping mall. A wide variety of F&B, learning centers, family activties, cinema , entertainments, supermarket, fashion outlets, IT stores, furniture stores, exhibition area, etc. The top floor with super high ceiling provides that super spacious dinning experience. It is a fun place to hangout and enjoy, especially for family to enjoy a weekend of fun and entertainment.",FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJZ1omp8gZ2jERgDUAb_hBKLY,https://maps.google.com/?cid=13125813649241290112&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"shopping_mall, point_of_interest, establishment",positive_review
City Square Mall,"Stayed at the Novotel Hotel which was just opposite of the mall and thus spent lots of time hanging around. I must say that this is one of my favourite malls as there's just everything that you might need from supermarkets, electronics, sport outlets, very interesting restaurants and fast food chains like McDonalds & KFC. It's quite practical for many foreigners as there's also lots of ATM Cash Machines and Currency Exchange facilities on the lower floors.",FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJZ1omp8gZ2jERgDUAb_hBKLY,https://maps.google.com/?cid=13125813649241290112&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"shopping_mall, point_of_interest, establishment",positive_review
Coastal Playgrove,Great place for kids. Safe. Unique and nice food stall nearby. And clean toilet,FALSE,TRUE,,Park,0,5,not spam,good,ChIJUblRbI4Z2jERxFFX4oTirxA,https://maps.google.com/?cid=1202428685892145604&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"park, playground, point_of_interest, establishment",positive_review
ComfortDelGro Corporation Ltd,Always have smooth and comfortable rides with their taxis. Most drivers are professional and kind. You can never go wrong with booking their taxi services.,FALSE,TRUE,,Corporate office,0,5,not spam,good,ChIJuatSAOkX2jER6QB06ZyJD0Q,https://maps.google.com/?cid=4904289826254356713&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.1,"corporate_office, point_of_interest, establishment",positive_review
ComfortDelGro Driving Centre,It’s been a wonderful learning experience and journey at CDC. Never imagine myself to eventually take up bike lesson after so many years of driving. What inspired me is the dedication of instructors that willing to teach and impart useful skills.,FALSE,FALSE,,Driving school,0,5,not spam,good,ChIJbTmU9rMX2jER-x-599r8Rzg,https://maps.google.com/?cid=4055488006859595771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment",positive_review
