title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types
Bones 'n Barrels Sentosa,"Was running and end up at Sentosa Boardwalk dead end due to construction.  Ran out of water and ask if they’re kind enough to refill

“sorry sir can I get some water to refill my water bottle?”

Waiter smiling and said “Ah no sir”

Date time 10 Aug 2025 at 8:00 pm.",False,False,,Restaurant,0,1.0,not spam,bad,ChIJeQFPeMgZ2jERnsV_M2E4Ocg,https://maps.google.com/?cid=14427624871385089438&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"restaurant, food, point_of_interest, establishment"
Bones 'n Barrels Sentosa,"Slow service, super long to take our orders even though the place wasn't very full. Told us we can't use Entertainer today without any explanation. Took order halfway and walked off, had to wait them to come back and finish taking the order. Missed things on the order and had to keep checking on the bill. Unacceptable service. Cockroach scurrying under the tables indoors.

Example interaction:
""Is this the chicken or the garlic naan?""
""Yes.""
""No, is this the chicken or the garlic naan?""
""Yes.""",False,True,,Restaurant,0,1.0,not spam,bad,ChIJeQFPeMgZ2jERnsV_M2E4Ocg,https://maps.google.com/?cid=14427624871385089438&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"restaurant, food, point_of_interest, establishment"
WaterWorld,"So sad, it is closed this day. I dont know why and when it will be reopened, planning your trip ahead and do not miss out the show",False,True,,Tourist attraction,0,1.0,not spam,bad,ChIJ4zgI4zkZ2jERcumg6t8I9eg,https://maps.google.com/?cid=16786332943900535154&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
WaterWorld,Saw Hpoe.,False,False,,Tourist attraction,0,1.0,spam,good,ChIJ4zgI4zkZ2jERcumg6t8I9eg,https://maps.google.com/?cid=16786332943900535154&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
Serapong Golf Course,golf is horrible prices are high and its super lame rather play dance dance revolution for 12 hours then play golf,False,True,,Golf course,0,1.0,not spam,bad,ChIJOW92VE0Z2jERflpqFS6E06Q,https://maps.google.com/?cid=11876981975768783486&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"golf_course, athletic_field, sports_activity_location, point_of_interest, establishment"
Serapong Golf Course,Golf ball from the course hit my car's windscreen resulting in a crack as I was driving along Sentosa gateway.,False,True,,Golf course,0,1.0,not spam,bad,ChIJOW92VE0Z2jERflpqFS6E06Q,https://maps.google.com/?cid=11876981975768783486&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"golf_course, athletic_field, sports_activity_location, point_of_interest, establishment"
PSA Brani Terminal,No parking place,False,True,,Port operating company,0,1.0,not spam,bad,ChIJyaOkt1oZ2jERVsKGBOIcIdE,https://maps.google.com/?cid=15069357585222517334&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment"
Sentosa Fire Station,"Kudos to the Sentosa SCDF team for organising weekly educational sessions. We appreciate the time, effort and hospitality by the team to educate both young and old.",False,True,,Fire station,0,5.0,not spam,good,ChIJBZmuX6se2jERznfY5HTEqrA,https://maps.google.com/?cid=12730203303050770382&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.9,"fire_station, government_office, point_of_interest, establishment"
Resorts World Sentosa,Bus A not ckear. Next tine in SG i will avoid Sentosa.,False,False,,Bus stop,0,1.0,not spam,bad,ChIJLR75v_0b2jERJrR28stYwMU,https://maps.google.com/?cid=14249486853969720358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"resort_hotel, tourist_attraction, aquarium, casino, hotel, lodging, point_of_interest, establishment"
Resorts World Sentosa,Bus A not ckear. Next tine in SG i will avoid Sentosa.,False,False,,Bus stop,0,1.0,not spam,bad,ChIJhVF18lQZ2jERA5C_EHKdiAo,https://maps.google.com/?cid=759029650444750851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"bus_stop, transit_station, point_of_interest, establishment"
