title,text,url,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars
Bones 'n Barrels Sentosa,"Was running and end up at Sentosa Boardwalk dead end due to construction.  Ran out of water and ask if they’re kind enough to refill

“sorry sir can I get some water to refill my water bottle?”

Waiter smiling and said “Ah no sir”

Date time 10 Aug 2025 at 8:00 pm.",https://www.google.com/maps/search/?api=1&query=Bones%20'n%20Barrels%20Sentosa&query_place_id=ChIJeQFPeMgZ2jERnsV_M2E4Ocg,FALSE,FALSE,,Restaurant,0,1
Bones 'n Barrels Sentosa,"Slow service, super long to take our orders even though the place wasn't very full. Told us we can't use Entertainer today without any explanation. Took order halfway and walked off, had to wait them to come back and finish taking the order. Missed things on the order and had to keep checking on the bill. Unacceptable service. Cockroach scurrying under the tables indoors.

Example interaction:
""Is this the chicken or the garlic naan?""
""Yes.""
""No, is this the chicken or the garlic naan?""
""Yes.""",https://www.google.com/maps/search/?api=1&query=Bones%20'n%20Barrels%20Sentosa&query_place_id=ChIJeQFPeMgZ2jERnsV_M2E4Ocg,FALSE,TRUE,,Restaurant,0,1
WaterWorld,"So sad, it is closed this day. I dont know why and when it will be reopened, planning your trip ahead and do not miss out the show",https://www.google.com/maps/search/?api=1&query=WaterWorld&query_place_id=ChIJ4zgI4zkZ2jERcumg6t8I9eg,FALSE,TRUE,,Tourist attraction,0,1
WaterWorld,Saw Hpoe.,https://www.google.com/maps/search/?api=1&query=WaterWorld&query_place_id=ChIJ4zgI4zkZ2jERcumg6t8I9eg,FALSE,FALSE,,Tourist attraction,0,1
Serapong Golf Course,golf is horrible prices are high and its super lame rather play dance dance revolution for 12 hours then play golf,https://www.google.com/maps/search/?api=1&query=Serapong%20Golf%20Course&query_place_id=ChIJOW92VE0Z2jERflpqFS6E06Q,FALSE,TRUE,,Golf course,0,1
Serapong Golf Course,Golf ball from the course hit my car's windscreen resulting in a crack as I was driving along Sentosa gateway.,https://www.google.com/maps/search/?api=1&query=Serapong%20Golf%20Course&query_place_id=ChIJOW92VE0Z2jERflpqFS6E06Q,FALSE,TRUE,,Golf course,0,1
PSA Brani Terminal,No parking place,https://www.google.com/maps/search/?api=1&query=PSA%20Brani%20Terminal&query_place_id=ChIJyaOkt1oZ2jERVsKGBOIcIdE,FALSE,TRUE,,Port operating company,0,1
PSA Brani Terminal,,https://www.google.com/maps/search/?api=1&query=PSA%20Brani%20Terminal&query_place_id=ChIJyaOkt1oZ2jERVsKGBOIcIdE,FALSE,FALSE,,Port operating company,0,2
Sentosa Fire Station,,https://www.google.com/maps/search/?api=1&query=Sentosa%20Fire%20Station&query_place_id=ChIJBZmuX6se2jERznfY5HTEqrA,FALSE,FALSE,,Fire station,0,4
Sentosa Fire Station,"Kudos to the Sentosa SCDF team for organising weekly educational sessions. We appreciate the time, effort and hospitality by the team to educate both young and old.",https://www.google.com/maps/search/?api=1&query=Sentosa%20Fire%20Station&query_place_id=ChIJBZmuX6se2jERznfY5HTEqrA,FALSE,TRUE,,Fire station,0,5
Resorts World Sentosa,Bus A not ckear. Next tine in SG i will avoid Sentosa.,https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa&query_place_id=ChIJhVF18lQZ2jERA5C_EHKdiAo,FALSE,FALSE,,Bus stop,0,1
Resorts World Sentosa,Poor food quality. Served cold. Minimal apology.,https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa&query_place_id=ChIJhVF18lQZ2jERA5C_EHKdiAo,FALSE,FALSE,,Bus stop,0,1
Brani Marine Fire Station,,https://www.google.com/maps/search/?api=1&query=Brani%20Marine%20Fire%20Station&query_place_id=ChIJP7vxUUkZ2jERatw7BgbbGNg,FALSE,TRUE,,Fire station,0,1
Brani Marine Fire Station,,https://www.google.com/maps/search/?api=1&query=Brani%20Marine%20Fire%20Station&query_place_id=ChIJP7vxUUkZ2jERatw7BgbbGNg,FALSE,FALSE,,Fire station,0,1
World Sentosa + Adventure Cove Waterpark,It's okay. Wasnt the best watermpark. If you're planning to go here please make sure you reapply sunscreen every 1 hour and don't stay for more than 1-2 hours if not you're definitely getting sunburned. That's what happened to me. Thr fact that most of the fun activities are without a roof to shade from the sun is concerning. Just keep in mind that you might get really bad sunburned and increase risk of skin cancer.,https://www.google.com/maps/search/?api=1&query=World%20Sentosa%20%2B%20Adventure%20Cove%20Waterpark&query_place_id=ChIJy5Imj80f2jERFY5dqiCKtXc,FALSE,TRUE,,Tourist attraction,0,3
World Sentosa + Adventure Cove Waterpark,,https://www.google.com/maps/search/?api=1&query=World%20Sentosa%20%2B%20Adventure%20Cove%20Waterpark&query_place_id=ChIJy5Imj80f2jERFY5dqiCKtXc,FALSE,FALSE,,Tourist attraction,0,4
Prima Food Pte Ltd,"Their char kuey tiao taste like some Chinese chili paste! Thank God I didn't pour in the entire packet. Poured abit and wonder why it's filled with chili oil n tasted so spicy. So disappointing. There is no usual chili logo indicator on the packaging to state spiciness level. They state ""hint of chili"" I am a chili eating lover but this is Not just spicy, it is very spicy!! Since when is char kuay tiao spicy? Should at least seperate dark sauce and chili paste at the side. The concoction just tasted so wrong. Can't even be used at mee goreng 😢 the picture with the noodle was after pouring in 1 teaspoon of the paste and what we ""took out"" to save the rest of our noodles",https://www.google.com/maps/search/?api=1&query=Prima%20Food%20Pte%20Ltd&query_place_id=ChIJHfsqMlkZ2jERr_VvRqACHV4,FALSE,FALSE,,Food manufacturer,0,1
Prima Food Pte Ltd,Taste so bad.. how did this even manage to get launched? Something is wrong with the management taste..,https://www.google.com/maps/search/?api=1&query=Prima%20Food%20Pte%20Ltd&query_place_id=ChIJHfsqMlkZ2jERr_VvRqACHV4,FALSE,TRUE,,Food manufacturer,0,1
Santosa,Very nice,https://www.google.com/maps/search/?api=1&query=Santosa&query_place_id=ChIJE__kDQAf2jERZlLKjvp_1d0,FALSE,TRUE,,College,0,5
Santosa,,https://www.google.com/maps/search/?api=1&query=Santosa&query_place_id=ChIJE__kDQAf2jERZlLKjvp_1d0,FALSE,FALSE,,College,0,5
Prima Limited (FLOUR MILLS),"i found a. bug in my flour. new flour, the bug came in the flour. it was alive (which is scary btw) and now i need to replace the flour👎 not good very ew",https://www.google.com/maps/search/?api=1&query=Prima%20Limited%20(FLOUR%20MILLS)&query_place_id=ChIJb3g7QXMZ2jER5UG5Dl3XPcQ,FALSE,FALSE,,Manufacturer,0,2
Prima Limited (FLOUR MILLS),Singapore’s own flour mills. A pity that the revolving restaurant has permanently closed.,https://www.google.com/maps/search/?api=1&query=Prima%20Limited%20(FLOUR%20MILLS)&query_place_id=ChIJb3g7QXMZ2jER5UG5Dl3XPcQ,FALSE,TRUE,,Manufacturer,0,4
Harbourfront Boardwalk,Nice seaview.,https://www.google.com/maps/search/?api=1&query=Harbourfront%20Boardwalk&query_place_id=ChIJwXTLLwAZ2jER4UiURaVqFn0,FALSE,TRUE,,Scenic spot,0,4
Harbourfront Boardwalk,Morning/Evening walk place..,https://www.google.com/maps/search/?api=1&query=Harbourfront%20Boardwalk&query_place_id=ChIJwXTLLwAZ2jER4UiURaVqFn0,FALSE,TRUE,,Scenic spot,0,4
Fort Serapong,"I tried to get into the fort, but it's closed. The entrance is partitioned off and a sign is set up that there is no way in.
Do not waste your time, you will not find any interesting historical sights here.",https://www.google.com/maps/search/?api=1&query=Fort%20Serapong&query_place_id=ChIJ64jZU6Mf2jERuOpSam1xH2g,FALSE,TRUE,,Historical landmark,0,1
Fort Serapong,No entry when I was there on 30 march 2021,https://www.google.com/maps/search/?api=1&query=Fort%20Serapong&query_place_id=ChIJ64jZU6Mf2jERuOpSam1xH2g,FALSE,TRUE,,Historical landmark,0,1
Sentosa Boardwalk,"I don't know if Sentosa management went wrong or what.  Now (as of may 25  2025) closed the old board walk and new one is a very narrow conjugated and not so nice walk feel.

This is really insane. Lot of people enjoy this walk along sea and sun and Singapore skyline..and closed it permanently is not good.

Management should seriously think of this",https://www.google.com/maps/search/?api=1&query=Sentosa%20Boardwalk&query_place_id=ChIJDxyQUAAZ2jERVmLHwcPgzqI,FALSE,TRUE,,Hiking area,0,1
Sentosa Boardwalk,As of 3rd July half the walkway is closed off. You also need to walk through the car park. Better off taking the tram as it’s free while inside sentosa island area,https://www.google.com/maps/search/?api=1&query=Sentosa%20Boardwalk&query_place_id=ChIJDxyQUAAZ2jERVmLHwcPgzqI,FALSE,TRUE,,Hiking area,0,1
Marina Bay Cruise Centre Singapore,"Communication Aspect: Plenty of communication gaps. Also, staff from different departments draw clear lines and often push responsibilities around.

Customer service: Customer service is below average and close to poor. My family was challenged by a male staff to write a formal online complaint against the Genting Dream Cruise, while the root cause of the mistake is due to the shortage of Manpower and lack of situation management skills.

Overall, I will not recommend this place. In short, Marina Bay Cruise Centre is unfortunate to have a bunch dysfunctional and irresponsible team.",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Cruise%20Centre%20Singapore&query_place_id=ChIJy2KCdQAZ2jERDJ2C7EAW7DY,FALSE,TRUE,,Cruise terminal,0,1
Marina Bay Cruise Centre Singapore,"It’s interesting to see how different you this Terminal is organized compared to pretty much any Air- and Seaport. All the staff is running around completely stressed out. We are standing in line for security check for more than an hour and nothing is moving, the lines are all the way to the outside by now. This isn’t badly managed, it’s not managed at all. Frustrating, 1*",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Cruise%20Centre%20Singapore&query_place_id=ChIJy2KCdQAZ2jERDJ2C7EAW7DY,FALSE,TRUE,,Cruise terminal,0,1
Marina South Wharves,"Jurong Port makes tonnes of money but can't even provide seats for port users. If there is a stop work due to rain, expect to stand between 2 to 5hrs !!!  Pavement leading to the wharf is very narrow and unsafe due to heavy vehicles plying the lane leading to the wharf. I would have given zero star if there is an option.",https://www.google.com/maps/search/?api=1&query=Marina%20South%20Wharves&query_place_id=ChIJ0dJ7HkMZ2jERUyGFZY6WYXI,FALSE,TRUE,,Transportation service,0,1
Marina South Wharves,,https://www.google.com/maps/search/?api=1&query=Marina%20South%20Wharves&query_place_id=ChIJ0dJ7HkMZ2jERUyGFZY6WYXI,FALSE,TRUE,,Transportation service,0,2
Marina Bay Cruise Centre,"Horrible experience with aggressive staff member yelling at my family for requesting to join the wheelchair queue going on the Genting Cruise. He kept shouting only one carer with wheelchair is allowed. So my father is being punished for having 2 carers and not being allowed to the wheelchair priority queue. Later on, my father was taken away and wheeled to the priority queue with a wider gantry while we were shuffled through 2 separate queues. It was so confusing throughout and staff members were generally dismissive rather than providing genuine help to wheelchair bound customers and their families.",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Cruise%20Centre&query_place_id=ChIJfyAOmiMZ2jERY-efsiKC7UM,FALSE,TRUE,,Bus stop,0,1
Marina Bay Cruise Centre,"Terrible attitude from one of the ground staff wearing dark blue shirt. Insisted with rude tone that one person must queue for the room pass before entering the sitting area. If such a big crowd and you cannot handle, please dont stay as frontliner. Spoiling my mood before boarding.",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Cruise%20Centre&query_place_id=ChIJfyAOmiMZ2jERY-efsiKC7UM,FALSE,TRUE,,Bus stop,0,1
F61 Taxi Stand,It's a great 😃,https://www.google.com/maps/search/?api=1&query=F61%20Taxi%20Stand&query_place_id=ChIJ79WJnE8Z2jERdwMpv7aHzhk,FALSE,FALSE,,Taxicab Stand,0,5
F61 Taxi Stand,,https://www.google.com/maps/search/?api=1&query=F61%20Taxi%20Stand&query_place_id=ChIJ79WJnE8Z2jERdwMpv7aHzhk,FALSE,FALSE,,Taxicab Stand,0,5
Singapore Port,"The port security are not making any sense. They can put a ban on bringing food onboard, without any good reason",https://www.google.com/maps/search/?api=1&query=Singapore%20Port&query_place_id=ChIJmxL9KwAZ2jERkKlKXeZsPKM,FALSE,FALSE,,River port,0,1
Singapore Port,🇬🇧威尔士亲王航母 访问🇸🇬,https://www.google.com/maps/search/?api=1&query=Singapore%20Port&query_place_id=ChIJmxL9KwAZ2jERkKlKXeZsPKM,FALSE,TRUE,,River port,0,4
Marina Coastal Drive,,https://www.google.com/maps/search/?api=1&query=Marina%20Coastal%20Drive&query_place_id=ChIJfQt8RXMR2jERziNBBvT6Lz4,FALSE,FALSE,,Cruise terminal,0,1
Marina Coastal Drive,,https://www.google.com/maps/search/?api=1&query=Marina%20Coastal%20Drive&query_place_id=ChIJfQt8RXMR2jERziNBBvT6Lz4,FALSE,FALSE,,Cruise terminal,0,3
Poiz,,https://www.google.com/maps/search/?api=1&query=Poiz&query_place_id=ChIJ6wSz6I8Z2jERSriIMUxgbOw,FALSE,,,Apartment complex,,
No Name Cafe,"Go there no need to que
Don't bother just shout the order to him even you are behind the que.",https://www.google.com/maps/search/?api=1&query=No%20Name%20Cafe&query_place_id=ChIJo2qByVQZ2jERI-CMaNo8888,FALSE,FALSE,,Coffee shop,0,1
No Name Cafe,"Only store selling cooked food at this pier. Food was very cold even though I got it at 8am in the morning. $4 nasi lemak had one egg, chicken cutlet, ikan bilis, came with FOC fried ant. Maybe better to buy food before coming here.",https://www.google.com/maps/search/?api=1&query=No%20Name%20Cafe&query_place_id=ChIJo2qByVQZ2jERI-CMaNo8888,FALSE,TRUE,,Coffee shop,0,2
Marina Bay Cruise Centre Singapore - Ground Transport Area,,https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Cruise%20Centre%20Singapore%20-%20Ground%20Transport%20Area&query_place_id=ChIJ_2Xyox0Z2jERZe_ZDFZ-0Z4,FALSE,,,Cruise terminal,,
MLS Meteorite Logistics Services,,https://www.google.com/maps/search/?api=1&query=MLS%20Meteorite%20Logistics%20Services&query_place_id=ChIJqbORjiMZ2jERY7dcfyxySZE,FALSE,FALSE,,Shipping company,0,5
PELABUHAN MARINA BAY SINGAPURA,,https://www.google.com/maps/search/?api=1&query=PELABUHAN%20MARINA%20BAY%20SINGAPURA&query_place_id=ChIJHQC9LQAZ2jERJywpHL17Fwk,FALSE,FALSE,,River port,0,5
MBFC Tower 3,"What is your solution for delivery riders? Simple. Let them get summoned. No viable solution taken to address the issue of short term parking delivering food. Oh wait, there are parking lots available? Did you realise the economic impact of your parking charges???",https://www.google.com/maps/search/?api=1&query=MBFC%20Tower%203&query_place_id=ChIJj1FKMw4Z2jERUDz1GxgD08o,FALSE,TRUE,,Business center,0,1
MBFC Tower 3,Horrible rude security. The management should come out and see how they shout or gesture at the drivers. Awesome impression for our guests to the offices.,https://www.google.com/maps/search/?api=1&query=MBFC%20Tower%203&query_place_id=ChIJj1FKMw4Z2jERUDz1GxgD08o,FALSE,TRUE,,Business center,0,1
Suntec Singapore Convention & Exhibition Centre,worst security here. there’s no rule that we can’t loiter around in the premises of the center. he started harassing us for hanging around when we didn’t do anything wrong. also we didn’t make any noise or cause any disturbance. here is the photo of him.,https://www.google.com/maps/search/?api=1&query=Suntec%20Singapore%20Convention%20%26%20Exhibition%20Centre&query_place_id=ChIJ8yvdOK8Z2jERx1TP2rKMPtY,FALSE,FALSE,,Convention center,0,1
Suntec Singapore Convention & Exhibition Centre,"Worst place to have a concert in Singapore, feels like an orchestra in an Indian marriage with chairs and people roaming around with drinks all the time. Star, Capitol and Esplanade are way better than this place",https://www.google.com/maps/search/?api=1&query=Suntec%20Singapore%20Convention%20%26%20Exhibition%20Centre&query_place_id=ChIJ8yvdOK8Z2jERx1TP2rKMPtY,FALSE,TRUE,,Convention center,0,1
ArtScience Museum,"I visited Mirror Mirror exhibition in the art science museum. And to be honest, it was absolutely pathetic.

Not even a single room in the exhibit was interesting and it felt like a thought less exhibition just to increase the variety in the art science museum.

I have heard that some of the other exhibitions are good but none are great, but I honestly only had the time to visit Mirror Mirror exhibition. And it was not at all good.

To be very honest, India has much better science museum and most of them will wow you!",https://www.google.com/maps/search/?api=1&query=ArtScience%20Museum&query_place_id=ChIJnWdQKQQZ2jERScXuKeFHyIE,FALSE,TRUE,,Museum,0,1
ArtScience Museum,"As great as the overall design of the building is (which, if judged on those merits alone, would warrant 5 stars), the two exhibits I went to were a mixed bag. It also didn't help that the Future World exhibits were unavailable for the time I was here, I was pretty excited to see it. Here's a quick review of what I got to see.

Sen (VR) - 1/5. The VR elements feel tacked on and not well implemented. Not only was I stuck in the floor for the most part, there wasn't much interactivity to the whole film. You can drag the little guy around very slightly, and that's all. I also ended up not understanding anything about the film and what it was trying to say, which may just be a skill issue on my end, but it's pretty rare for me to walk away from a work of art with absolutely 0 idea of how to interpret it. I was thinking that this film would have something related to the history of tea in Japanese culture or go in depth about the themes of life, death, and rebirth, but those only show up in extremely vague ways that just end up not meaning a whole lot. The actual audio-visual experience itself wasn't half bad, but I've seen and felt more powerful things in completely free experiences made in VRChat. Overall, I was really looking forward to it, but it turned out to not be worth the 19SGD.

Mirror Mirror: Journey Into the Mind -  2-4/5. This experience completely hinges on your opinion of AI art. It's a non-linear experience where you go through different exhibits to explore the inner workings of yourself, and for the most part it was a rather insightful and informative experience. However, one exhibit fully depends on inputs from the audience to create vague and pointless AI poems and imagery, and having that at the very end of my journey completely shattered my perception of the exhibit. I felt betrayed honestly, not only because that put into question the genuine human creativity behind the exhibit as a whole, but also made me realize that this whole venture was kinda meaningless. I came in here looking for some form of deep introspection, and though I did get that in a few of the exhibits (especially the brainstorm room and the mirror forest, those were simple yet very effective), I walked out very frustrated and I felt like I had wasted my money. If computer generated images and writing help you reach a further sense of understanding, then I'm happy for you. Me? I wish they had just removed that part of the exhibit, then I'd have been happy with the rest of the project.

Overall, the museum has had some strange choices of exhibits to feature, and I hope that they can make better choices in the future. I'm completely disappointed by my time here, and I hope that next time (if there is one), they'll have more meaningful projects to show and less involvement of AI-generated anything. I get that this is supposed to be a blend of art and science, but AI is not the way to go.",https://www.google.com/maps/search/?api=1&query=ArtScience%20Museum&query_place_id=ChIJnWdQKQQZ2jERScXuKeFHyIE,FALSE,TRUE,,Museum,0,1
One Raffles Quay,"The building owners decided to enforce existing the office building using the phone app, further inconveniencing and congesting the exit process from the building. The new LED panels emit so much heat it’s enough to keep my lunch warm. Talk about being “green” and being good for the environment. Poorly thought through.",https://www.google.com/maps/search/?api=1&query=One%20Raffles%20Quay&query_place_id=ChIJsRqiaQ4Z2jERf5aRETOqllI,FALSE,FALSE,,Business center,0,1
One Raffles Quay,"Building exit needs scanning
Difficult for guest , lift libby passage is narrow crowded during morning and noon.",https://www.google.com/maps/search/?api=1&query=One%20Raffles%20Quay&query_place_id=ChIJsRqiaQ4Z2jERf5aRETOqllI,FALSE,TRUE,,Business center,0,1
Singapore Flyer,"It was an absolute nightmare taking the Singapore Flyer for NDP fireworks viewing. The fare was 300 per person, and the food was below decent, with hard bread and very chewy beef. The whole point of paying for this package was to enjoy the fireworks from a great vantage point, yet we were stuck on the opposite side for the entire duration with the view completely blocked. It is understandable that there is some luck involved in where you end up by the time the fireworks start. The issue is, the Flyer had stopped moving or significantly reduced its speed, a few times during the fireworks. Meaning everyone on our side had no view of the fireworks at all, while the other half of the Flyer enjoyed an unobstructed view for 10 to 15 minutes. I have no idea how they decided who should get the better view. Without proper rotation, it is simply not fair. So, for 300 per person, we were left staring at the blocked view instead of the fireworks. Good job.",https://www.google.com/maps/search/?api=1&query=Singapore%20Flyer&query_place_id=ChIJzVHFNqkZ2jERboLN2YrltH8,FALSE,TRUE,"Dear Ms. Jiang, Thank you for taking the time to share your feedback. We are sorry to hear that your experience onboard the 165 Sky Dining did not meet your expectations.
We strive to deliver a seamless and memorable journey for all guests. However, on certain evenings such as Singapore’s National Day celebrations, significantly larger crowds are drawn to the Marina Bay area for the aerial displays and festivities. This, combined with other operational factors, can occasionally affect the pacing and location of the flight despite our best efforts. While our Sky Dining flights are curated to offer a memorable experience with panoramic views of the Singapore skyline, views of the fireworks cannot be guaranteed, and we seek your kind understanding on this matter.
We also note your comments on the food quality and would greatly appreciate it if you could write to our team at customer_service@singaporeflyer.com with your flight confirmation details, so that we may review the matter thoroughly with our teams. Your feedback is important to us and will help us address the concerns you have raised.
Thank you once again, and we wish you a pleasant day ahead.
",Ferris wheel,0,1
Singapore Flyer,"The VIP ticket experience was very bad. The ticket said 7.30-8.00pm, but you still have to wait for at least 20-30 minutes. I really don't recommend it.",https://www.google.com/maps/search/?api=1&query=Singapore%20Flyer&query_place_id=ChIJzVHFNqkZ2jERboLN2YrltH8,FALSE,FALSE,"Thank you for sharing your feedback. We're genuinely sorry to hear that your experience did not meet expectations, and we truly appreciate you taking the time to highlight this. While we strive to deliver a seamless experience at all times, there are select evenings — particularly in the lead-up to Singapore’s National Day celebrations — where larger crowds are drawn to the area to view the aerial displays and citywide festivities. This occasionally results in brief waiting times (e.g. themed cabin arrival times) despite scheduled entry slots. We seek your kind understanding in this matter and we sincerely regret any inconvenience this may have caused. 
Thank you once again for sharing your experience with us, we genuinely appreciate your understanding and patience. If you have any additional concerns or would like to discuss your experience further, please don’t hesitate to reach out to us directly at customerservice@singaporeflyer.com. We hope to have the opportunity to welcome you back for a more seamless visit in the future.
",Ferris wheel,0,1
Bayfront MRT Station (CE1/DT16),The entrance and exit experience with a stroller is a nightmare. It takes over 30 minutes just to enter via Gardens by the Bay entrance and to get to the MRT platform. Also over half of the linkway to MRT is occupied by the TikTok creators wasting precious public space for their content creation. Please add more lifts. Also escalator is a must have on the Gardens by the Bay entrance side.,https://www.google.com/maps/search/?api=1&query=Bayfront%20MRT%20Station%20(CE1%2FDT16)&query_place_id=ChIJGykJTU4Z2jERZZXRzNiRXLs,FALSE,TRUE,,Railway services,0,1
Bayfront MRT Station (CE1/DT16),"Generally is OK however today at 915pm, myself and wife were ""chosen"" for security checks and when I asked why were we chosen - answer given was ""random"".

OK, but if its random isn't make more sense to choose someone with heavier bags or luggages which could like have a higher risk of carrying possibly dangerous material that pose safety to commuters? I had only a wallet and an HP while my wife was carrying a seemingly light body pouch that does not represent any danger.. while we are being scanned, I notice the security officer chose another two ladies (probably tourist) with handbags for scanning..

Come on, there are other commuters with huge luggages and bags. Those are the type which should be selected for random checks. To Circle line, you can take this and feedback to TransCom or LTA. This is important because I do not see how the random checks is effective or even near practical if people like us with handbags and wallets are chosen consecutively for screening which pose no threat or danger. At least choose the one with higher risk for random check.

For the safety of Singapore and its citizen/residents, I urge that you step up the screening randomly but with better effort on effective selection and results.",https://www.google.com/maps/search/?api=1&query=Bayfront%20MRT%20Station%20(CE1%2FDT16)&query_place_id=ChIJGykJTU4Z2jERZZXRzNiRXLs,FALSE,TRUE,,Railway services,0,1
Marina Bay Sands Casino,"After chasing down a drinks waiter, I was enjoying a really good Long Island iced tea, playing the pokies.  When I requested a second I was told casino policy - one drink per hour.  Cashed in and left.",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Sands%20Casino&query_place_id=ChIJTzCCaz0Z2jERx_S17pyhem8,FALSE,FALSE,,Casino,0,1
Marina Bay Sands Casino,"Very rude staff. At the entrance a staff member asked me to show him the email containing the visa and I wrongly showed him the wrong email and he called me stupid.

You can’t use apple wallet or google pay, you need the physical card.

You must buy at least $100 worth of fish, and you cannot exchange fish back for money if the value is less than $100.",https://www.google.com/maps/search/?api=1&query=Marina%20Bay%20Sands%20Casino&query_place_id=ChIJTzCCaz0Z2jERx_S17pyhem8,FALSE,FALSE,,Casino,0,1
Dunman High School,,https://www.google.com/maps/search/?api=1&query=Dunman%20High%20School&query_place_id=ChIJzbQUz0QY2jERJBlRqnfquUY,FALSE,,,High school,,
Marina Barrage,"What's the point of building this thing if you don't let people use it as intended? Tried to bring a couple of harmless decathlon foldable chairs up for a picnic but was turned away, saying it is stated on their website that tables and chairs are not allowed. Who checks the website of an outdoor space for rules on whether you can bring tables and chairs?",https://www.google.com/maps/search/?api=1&query=Marina%20Barrage&query_place_id=ChIJ50uIMa0Z2jER0cTt5fLaZt0,FALSE,TRUE,,Picnic ground,0,1
Marina Barrage,PUB needs to take measures to ensure the safety of children against speeding cyclists in the area. There were many children in the rest areas and yet speeding cyclists swooped past dangerously. One incident nearly happened when one speeding cyclist was heading towards a 1-2 years old toddler. There is a sign prohibiting cycling and skateboarding in this area. There was a security personnel standing there helplessly as he claimed these cyclists were too fast to be stopped. I think it is a matter of “when” not “if” for a injury or fatality to occur caused by speeding cyclists. Can we not have a calming measures in place to deter the speeding cyclists ? a BIGGER and Clearer sign please.,https://www.google.com/maps/search/?api=1&query=Marina%20Barrage&query_place_id=ChIJ50uIMa0Z2jER0cTt5fLaZt0,FALSE,TRUE,,Picnic ground,0,1
Pan Pacific Singapore,"I don’t recommend because of the service .
We book and pay for a room with full view on marina bay , they give us room with 10% view only . And they ask us to pay more if we want full view !! , so if you want a view you pay twice !!! Also the managers are unprofessional ! Do Not recommended because of the service even the hotel is great! There are many hotels in singapore better .",https://www.google.com/maps/search/?api=1&query=Pan%20Pacific%20Singapore&query_place_id=ChIJsQvJ8KgZ2jER9PL5Qty0i9Y,FALSE,TRUE,,Hotel,0,1
Pan Pacific Singapore,"I visited Pan Pacific Singapore for a friend’s birthday meal, expecting a pleasant evening. Instead, my wife and I were treated like “trespasser” by the hotel’s security guy the moment we arrived through the side door from the nearby shopping mall.

Then, another guy stopped us in a publicly accessible area within the hotel and began questioning our presence in a tone that was accusatory and borderline rude. He even raised his voice at us, demanding we show “proof” of our dinner appointment before allowing us to proceed. It was not just embarrassing, it was completely uncalled for!

I’m shocked that this is considered acceptable behaviour at a supposedly five-star establishment. Is this how we treat guests in Singapore now? Or is this kind of disrespectful attitude reserved only for locals who dine here but don’t stay the night?

Either way, this experience left a terrible impression and a bitter taste in me. I sincerely hope the management takes a hard look at how their frontline staff are trained to treat people. Hospitality begins at the door and Pan Pacific has sorely failed in that regard.",https://www.google.com/maps/search/?api=1&query=Pan%20Pacific%20Singapore&query_place_id=ChIJsQvJ8KgZ2jER9PL5Qty0i9Y,FALSE,TRUE,"Thank you for sharing your experience with us. We have noted on your invaluable feedback.

Regards,
Pan Pacific Singapore Team",Hotel,0,1
