title,text,url,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,Unnamed: 9,spam_label,sentiment_label
VivoCity,"VivoCity is a massive and lively mall that’s got something for everyone. Whether you’re there for shopping, dining, or just to hang out, it’s a solid spot to spend a few hours. The mall has a wide range of stores, from big international brands to smaller specialty shops, so you’ll probably find what you’re looking for.

The food options are impressive—plenty of restaurants, cafés, and food courts serving everything from local favorites to international cuisines. There’s also a rooftop Sky Park that’s a nice place to relax and enjoy the view of Sentosa.

It does get crowded, especially on weekends, but the mall is spacious and easy to navigate. With its direct connection to the Sentosa Express, it’s also the perfect stop if you’re heading to the island. Overall, VivoCity is a go-to destination for shopping, food, and entertainment all in one place.",https://www.google.com/maps/search/?api=1&query=VivoCity&query_place_id=ChIJK7xLl1gZ2jERP_GdUY9XNLo,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
VivoCity,"Very much accessible shopping mall from Harbour Front MRT, and very easy access to Sentosa Island, even from mall can see beautiful view of sea and the entrance of Sentosa Island",https://www.google.com/maps/search/?api=1&query=VivoCity&query_place_id=ChIJK7xLl1gZ2jERP_GdUY9XNLo,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
Universal Studios Singapore,"Dreamy location if you are in Singapore, a must-visit place. A fun, enjoyable, and exciting day you are going to experience here if you are visiting. One full day is required here.

You have to buy passes in advance. Also, if you can install their application and check the wait time for each activity. For kids, adults, they have a Range of activities. They have introduced Minion Land and kids just love this.

The best ride is Transformers and The Mummy. They also have food stalls available. The Jurassic Park ride is just awesome. Pls bring a raincoat if you are planning for the Jurassic Park ride. Express pass is not required if you are visiting jn off off-season. On Sunday, they have parade.",https://www.google.com/maps/search/?api=1&query=Universal%20Studios%20Singapore&query_place_id=ChIJQ6MVplUZ2jERn1LmNH0DlDA,FALSE,TRUE,,Theme park,0,5,,not spam,good
Universal Studios Singapore,"We had a fantastic day at Universal Studios Singapore! I visited with my family and our two kids, and it was truly a memorable experience for all of us. The park is well-organized, clean, and full of exciting attractions suitable for both kids and adults.

Our children especially loved the themed rides and character meet-and-greets — seeing their favorite movie characters come to life was a real highlight! The staff were friendly, helpful, and made sure everything ran smoothly.

We also appreciated the shaded areas and rest spots, which made it easy to take breaks throughout the day. There were plenty of food options, and the park was very family-friendly overall.

Highly recommended for families looking to spend a fun-filled day together. We’ll definitely be coming back again!",https://www.google.com/maps/search/?api=1&query=Universal%20Studios%20Singapore&query_place_id=ChIJQ6MVplUZ2jERn1LmNH0DlDA,FALSE,TRUE,,Theme park,0,5,,not spam,good
HarbourFront MRT Station (CC29),"It is very big MRT station. From here you can go to Universal Studios aur orher side but bus, taxi, cable cae to santosa",https://www.google.com/maps/search/?api=1&query=HarbourFront%20MRT%20Station%20(CC29)&query_place_id=ChIJlXwdqs0b2jERnqiRG2DrUXU,FALSE,TRUE,,Transportation service,0,5,,not spam,good
HarbourFront MRT Station (CC29),Neatly maintained station with connections to all parts of the Singapore from Sentosa island. Shopping mall is also available around the station and it’s a gateway towards Sentosa island.,https://www.google.com/maps/search/?api=1&query=HarbourFront%20MRT%20Station%20(CC29)&query_place_id=ChIJlXwdqs0b2jERnqiRG2DrUXU,FALSE,TRUE,,Transportation service,0,5,,not spam,good
HarbourFront Centre,"I got on a cruise called Star Voyager at the HarbourFront Centre. The check-in service took some time, but overall it was quite fast. If you feel hungry, you can buy some food on the ground floor.",https://www.google.com/maps/search/?api=1&query=HarbourFront%20Centre&query_place_id=ChIJ5Qx1aOIb2jERwQsRlRdHaWM,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
HarbourFront Centre,"Connecting Singapore to several countries like Malaysia and Indonesia. This massive harbour is located inside Vivo City Mall, so it's easy to get by MRT and Bus. There's some souvenir stores, the waiting board has large capacity, the immigration process is not long.",https://www.google.com/maps/search/?api=1&query=HarbourFront%20Centre&query_place_id=ChIJ5Qx1aOIb2jERwQsRlRdHaWM,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
Mapletree Business City,"2/6/2025
Passed by this place while doing my morning walk, spacious, many F&B to choose from. Great to roam around & photography",https://www.google.com/maps/search/?api=1&query=Mapletree%20Business%20City&query_place_id=ChIJEY27wcEb2jERZ_Evi19g6-A,FALSE,TRUE,,Business park,0,5,,not spam,good
Mapletree Business City,"this is one of the best corporate office campus, companies like google, samsung, BNP with awesome nature and tourist attractions! and best food court facilities with variety of cusines and taste",https://www.google.com/maps/search/?api=1&query=Mapletree%20Business%20City&query_place_id=ChIJEY27wcEb2jERZ_Evi19g6-A,FALSE,TRUE,,Business park,0,5,,not spam,good
