title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label,Unnamed: 15,created,preprocessed_review,spam_label_,sentiment_label_,sarcasm_label_,relevance_score,relevance_label
FairPrice Finest Marine Parade Central,"Big supermarket here with two storey. Can find a lot of stuffs here.

Multi-storey parking just beside the supermarket but entrance from the front doesn't have any zebra cross to cross from the other market. Pretty much inconvenience to cross cause a lot of traffic here.",False,True,,Grocery store,0,5.0,not spam,bad,ChIJ7-fvFXEY2jERF81XESohPJ0,https://maps.google.com/?cid=11329967227120635159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"grocery_store, food_store, store, point_of_interest, food, establishment",negative_review,,,"Big supermarket here with two storey. Can find a lot of stuffs here.

Multi-storey parking just beside the supermarket but entrance from the front doesn't have any zebra cross to cross from the other market. Pretty much inconvenience to cross cause a lot of traffic here.",Not Spam,Negative,Not Sarcastic,0.40514007210731506,Relevant
Geylang East Public Library,Tried to collect book bugs. Before 5pm the librarian already said the bugs are out of stock....what a disappointment for the kids,False,True,,Public library,0,1.0,not spam,bad,ChIJQyTTUCMY2jERunI_GcAyOug,https://maps.google.com/?cid=16733743166087197370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"library, point_of_interest, establishment",negative_review,,,Tried to collect book bugs. Before 5pm the librarian already said the bugs are out of stock....what a disappointment for the kids,Not Spam,Negative,Not Sarcastic,0.3221994837125142,Relevant
Henderson Waves,"Oh, my God, it's just a wavey. Wooden bridge with some nice views. not worth the trip Unless you're acclimated to the climate and like hiking. The cable car was just as impressive even though it was not air-conditioned.",False,True,,Bridge,0,2.0,not spam,bad,ChIJeXrAvBcb2jERhWAujA0K0LE,https://maps.google.com/?cid=12812751993171763333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"point_of_interest, establishment",negative_review,,,"Oh, my God, it's just a wavey. Wooden bridge with some nice views. not worth the trip Unless you're acclimated to the climate and like hiking. The cable car was just as impressive even though it was not air-conditioned.",Not Spam,Positive,Not Sarcastic,0.06527258083224297,Not Relevant
Labrador Tower,No sheltered pathway out of the office building as the bridge hasnât been completed yetâ¦ it has been there since Jan 2025,False,True,,Corporate office,0,1.0,not spam,bad,ChIJ7bOWWUIb2jERuJLxuUVP3Ho,https://maps.google.com/?cid=8853038128394506936&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.6,"corporate_office, point_of_interest, establishment",negative_review,,,No sheltered pathway out of the office building as the bridge hasnât been completed yetâ¦ it has been there since Jan 2025,Not Spam,Negative,Not Sarcastic,0.5400718450546265,Relevant
MacPherson MRT Exit B,hard to find and so confusing...,False,False,,Suburban train line,0,1.0,not spam,bad,ChIJkVfhq34Z2jERSiSnfWt5e9k,https://maps.google.com/?cid=15671252830942340170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,hard to find and so confusing...,Not Spam,Negative,Not Sarcastic,0.3611323833465576,Relevant
Marine Parade MRT Station (TE26),"MRT station toilet cleaning needs improvement.

Toilet opposite Cheers and before entrance to mrt train.  male toilet cubicle walls are dirty with stains.  hook on toilet wall missing.

this is a new station, cleanliness is poor.",False,True,,Railway services,0,1.0,not spam,bad,ChIJMUyhcAAZ2jERdWktil9Uhy4,https://maps.google.com/?cid=3352741216917481845&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment",negative_review,,,"MRT station toilet cleaning needs improvement.

Toilet opposite Cheers and before entrance to mrt train.  male toilet cubicle walls are dirty with stains.  hook on toilet wall missing.

this is a new station, cleanliness is poor.",Not Spam,Negative,Not Sarcastic,0.3613768398761749,Relevant
Merlion Park,Very basic and no sitting arrangements for the tourists,False,True,,Park,0,1.0,not spam,bad,ChIJBTYg1g4Z2jERp_MBbu5erWY,https://maps.google.com/?cid=7398674140980442023&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, tourist_attraction, point_of_interest, establishment",negative_review,,,Very basic and no sitting arrangements for the tourists,Not Spam,Negative,Not Sarcastic,0.2265709638595581,Not Relevant
Novena MRT Station (NS20),"Inconvenient place to walk to mrt station since the north south canal was on.
Former mrt station under pass was closed.",False,False,,Railway services,0,1.0,not spam,bad,ChIJBxjqcBsZ2jERIrw1JbXLHsM,https://maps.google.com/?cid=14059899065571064866&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,"Inconvenient place to walk to mrt station since the north south canal was on.
Former mrt station under pass was closed.",Not Spam,Neutral,Not Sarcastic,0.5115790069103241,Relevant
ABC Brickworks Market & Food Centre,"i dont get the long queue hype over this hong kong soy sauce chicken rice and noodle, bought big serving and this is one of the worst chicken rice i eaten as thereâs no meat at all. look at the amount of meat they give from the pictures, is all bones.",False,True,,Hawker center,0,1.0,not spam,bad,ChIJKY77qdYb2jERgrqa1URSZIM,https://maps.google.com/?cid=9467782772234566274&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"restaurant, food, point_of_interest, establishment",negative_review,,,"i dont get the long queue hype over this hong kong soy sauce chicken rice and noodle, bought big serving and this is one of the worst chicken rice i eaten as thereâs no meat at all. look at the amount of meat they give from the pictures, is all bones.",Not Spam,Negative,Not Sarcastic,0.49839983880519867,Relevant
Arc at Tampines Condominium,"Security anyhow clamp peopleâs car even with valid reasons such as young baby and old parent.

Security even threatened guests hinting at secret society connections.

Probably one of the worst MCST cum guardhouse in the whole of SG.",False,False,,Condominium complex,0,1.0,not spam,bad,ChIJO7A2amk92jER-5k3F3qJ7sM,https://maps.google.com/?cid=14118373039321618939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"condominium_complex, real_estate_agency, point_of_interest, establishment",negative_review,,,"Security anyhow clamp peopleâs car even with valid reasons such as young baby and old parent.

Security even threatened guests hinting at secret society connections.

Probably one of the worst MCST cum guardhouse in the whole of SG.",Not Spam,Negative,Not Sarcastic,0.6136581699053446,Relevant
