title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label,Unnamed: 15,created,preprocessed_review,spam_label_,sentiment_label_,sarcasm_label_,relevance_score,relevance_label,modified_review,summary
FairPrice Finest Marine Parade Central,"Big supermarket here with two storey. Can find a lot of stuffs here.

Multi-storey parking just beside the supermarket but entrance from the front doesn't have any zebra cross to cross from the other market. Pretty much inconvenience to cross cause a lot of traffic here.",FALSE,TRUE,,Grocery store,0,5,not spam,bad,ChIJ7-fvFXEY2jERF81XESohPJ0,https://maps.google.com/?cid=11329967227120635159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"grocery_store, food_store, store, point_of_interest, food, establishment",negative_review,,,"Big supermarket here with two storey. Can find a lot of stuffs here.

Multi-storey parking just beside the supermarket but entrance from the front doesn't have any zebra cross to cross from the other market. Pretty much inconvenience to cross cause a lot of traffic here.",Not Spam,Negative,Not Sarcastic,0.405140072,Relevant,"Big supermarket here with two storey. Can find a lot of stuffs here.

Multi-storey parking just beside the supermarket but entrance from the front doesn't have any zebra cross to cross from the other market. Pretty much inconvenience to cross cause a lot of traffic here. Category: Grocery store","1) Grocery Store
2) The review discusses various aspects of the grocery store, including its size (two-storey), available products (""Can find...""), but does not provide specific details about the quality or selection of items. | Labels: Negative"
Geylang East Public Library,Tried to collect book bugs. Before 5pm the librarian already said the bugs are out of stock....what a disappointment for the kids,FALSE,TRUE,,Public library,0,1,not spam,bad,ChIJQyTTUCMY2jERunI_GcAyOug,https://maps.google.com/?cid=16733743166087197370&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"library, point_of_interest, establishment",negative_review,,,Tried to collect book bugs. Before 5pm the librarian already said the bugs are out of stock....what a disappointment for the kids,Not Spam,Negative,Not Sarcastic,0.3221994837125142,Relevant,Tried to collect book bugs. Before 5pm the librarian already said the bugs are out of stock....what a disappointment for the kids Category: Public library,"1) Public Library
2) The reviewer tried to collect bookworms (book bugs) at the public library before 5 pm. 

Note: The review is irrelevant as it does not describe the library itself or its services. | Labels: Negative"
Henderson Waves,"Oh, my God, it's just a wavey. Wooden bridge with some nice views. not worth the trip Unless you're acclimated to the climate and like hiking. The cable car was just as impressive even though it was not air-conditioned.",FALSE,TRUE,,Bridge,0,2,not spam,bad,ChIJeXrAvBcb2jERhWAujA0K0LE,https://maps.google.com/?cid=12812751993171763333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"point_of_interest, establishment",negative_review,,,"Oh, my God, it's just a wavey. Wooden bridge with some nice views. not worth the trip Unless you're acclimated to the climate and like hiking. The cable car was just as impressive even though it was not air-conditioned.",Not Spam,Positive,Not Sarcastic,0.065272581,Not Relevant,"Oh, my God, it's just a wavey. Wooden bridge with some nice views. not worth the trip Unless you're acclimated to the climate and like hiking. The cable car was just as impressive even though it was not air-conditioned. Category: Bridge","1) Bridge  
2) The reviewer found the bridge to be wavy and wooden, without expressing any further details about their experience or opinion of its quality. | Labels: Positive, Not Relevant"
Labrador Tower,No sheltered pathway out of the office building as the bridge hasnât been completed yetâ¦ it has been there since Jan 2025,FALSE,TRUE,,Corporate office,0,1,not spam,bad,ChIJ7bOWWUIb2jERuJLxuUVP3Ho,https://maps.google.com/?cid=8853038128394506936&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.6,"corporate_office, point_of_interest, establishment",negative_review,,,No sheltered pathway out of the office building as the bridge hasnât been completed yetâ¦ it has been there since Jan 2025,Not Spam,Negative,Not Sarcastic,0.5400718450546265,Relevant,No sheltered pathway out of the office building as the bridge hasnât been completed yetâ¦ it has been there since Jan 2025 Category: Corporate office,"1) Corporate Office  
2) The review discusses a lack of sheltered pathway out of the office building. | Labels: Negative"
MacPherson MRT Exit B,hard to find and so confusing...,FALSE,FALSE,,Suburban train line,0,1,not spam,bad,ChIJkVfhq34Z2jERSiSnfWt5e9k,https://maps.google.com/?cid=15671252830942340170&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,hard to find and so confusing...,Not Spam,Negative,Not Sarcastic,0.3611323833465576,Relevant,hard to find and so confusing... Category: Suburban train line,"1) Subway Station  
2) The reviewer found it hard to find and thought the experience was confusing. | Labels: Negative"
Marine Parade MRT Station (TE26),"MRT station toilet cleaning needs improvement.

Toilet opposite Cheers and before entrance to mrt train.  male toilet cubicle walls are dirty with stains.  hook on toilet wall missing.

this is a new station, cleanliness is poor.",FALSE,TRUE,,Railway services,0,1,not spam,bad,ChIJMUyhcAAZ2jERdWktil9Uhy4,https://maps.google.com/?cid=3352741216917481845&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment",negative_review,,,"MRT station toilet cleaning needs improvement.

Toilet opposite Cheers and before entrance to mrt train.  male toilet cubicle walls are dirty with stains.  hook on toilet wall missing.

this is a new station, cleanliness is poor.",Not Spam,Negative,Not Sarcastic,0.3613768398761749,Relevant,"MRT station toilet cleaning needs improvement.

Toilet opposite Cheers and before entrance to mrt train.  male toilet cubicle walls are dirty with stains.  hook on toilet wall missing.

this is a new station, cleanliness is poor. Category: Railway services","1) MRT Station
2) The review is negative and states that the MRT station's toilet cleaning needs improvement. | Labels: Negative"
Merlion Park,Very basic and no sitting arrangements for the tourists,FALSE,TRUE,,Park,0,1,not spam,bad,ChIJBTYg1g4Z2jERp_MBbu5erWY,https://maps.google.com/?cid=7398674140980442023&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, tourist_attraction, point_of_interest, establishment",negative_review,,,Very basic and no sitting arrangements for the tourists,Not Spam,Negative,Not Sarcastic,0.2265709638595581,Not Relevant,Very basic and no sitting arrangements for the tourists Category: Park,"1) Park
2) The reviewer describes the park as ""Very basic"" with no seating arrangements. | Labels: Negative, Not Relevant"
Novena MRT Station (NS20),"Inconvenient place to walk to mrt station since the north south canal was on.
Former mrt station under pass was closed.",FALSE,FALSE,,Railway services,0,1,not spam,bad,ChIJBxjqcBsZ2jERIrw1JbXLHsM,https://maps.google.com/?cid=14059899065571064866&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,"Inconvenient place to walk to mrt station since the north south canal was on.
Former mrt station under pass was closed.",Not Spam,Neutral,Not Sarcastic,0.5115790069103241,Relevant,"Inconvenient place to walk to mrt station since the north south canal was on.
Former mrt station under pass was closed. Category: Railway services","1) Railway Station  
2) The review discusses a difficult location for walking to an MRT station and is negative. | Labels: Neutral"
ABC Brickworks Market & Food Centre,"i dont get the long queue hype over this hong kong soy sauce chicken rice and noodle, bought big serving and this is one of the worst chicken rice i eaten as thereâs no meat at all. look at the amount of meat they give from the pictures, is all bones.",FALSE,TRUE,,Hawker center,0,1,not spam,bad,ChIJKY77qdYb2jERgrqa1URSZIM,https://maps.google.com/?cid=9467782772234566274&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"restaurant, food, point_of_interest, establishment",negative_review,,,"i dont get the long queue hype over this hong kong soy sauce chicken rice and noodle, bought big serving and this is one of the worst chicken rice i eaten as thereâs no meat at all. look at the amount of meat they give from the pictures, is all bones.",Not Spam,Negative,Not Sarcastic,0.4983998388051986,Relevant,"i dont get the long queue hype over this hong kong soy sauce chicken rice and noodle, bought big serving and this is one of the worst chicken rice i eaten as thereâs no meat at all. look at the amount of meat they give from the pictures, is all bones. Category: Hawker center","1) Hawker Center
2) The reviewer had a negative experience with their visit to the hawker center, specifically mentioning that they don't understand the long queue hype and express disappointment with the food. | Labels: Negative"
Arc at Tampines Condominium,"Security anyhow clamp peopleâs car even with valid reasons such as young baby and old parent.

Security even threatened guests hinting at secret society connections.

Probably one of the worst MCST cum guardhouse in the whole of SG.",FALSE,FALSE,,Condominium complex,0,1,not spam,bad,ChIJO7A2amk92jER-5k3F3qJ7sM,https://maps.google.com/?cid=14118373039321618939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"condominium_complex, real_estate_agency, point_of_interest, establishment",negative_review,,,"Security anyhow clamp peopleâs car even with valid reasons such as young baby and old parent.

Security even threatened guests hinting at secret society connections.

Probably one of the worst MCST cum guardhouse in the whole of SG.",Not Spam,Negative,Not Sarcastic,0.6136581699053446,Relevant,"Security anyhow clamp peopleâs car even with valid reasons such as young baby and old parent.

Security even threatened guests hinting at secret society connections.

Probably one of the worst MCST cum guardhouse in the whole of SG. Category: Condominium complex","1) Condominium Complex
2) The reviewer mentions that security personnel in the condominium complex are clamping down on people's cars, indicating a negative experience. | Labels: Negative"
